Gene	Module	kME
2407	P1_I9_M1	0.88
2408	P1_I9_M1	0.97
2409	UNCLASSIFIED	NA
2410	P1_I9_M1	0.95
2411	UNCLASSIFIED	NA
2412	P1_I9_M1	0.95
2413	P4_I3_M2	0.83
2414	P1_I9_M2	0.91
2415	UNCLASSIFIED	NA
2416	UNCLASSIFIED	NA
2417	P2_I6_M1	0.9
2418	P2_I6_M2	0.88
2419	UNCLASSIFIED	NA
2420	UNCLASSIFIED	NA
2421	P1_I9_M3	0.95
2422	UNCLASSIFIED	NA
2423	P1_I9_M1	0.93
2424	UNCLASSIFIED	NA
2425	UNCLASSIFIED	NA
2426	UNCLASSIFIED	NA
2427	P1_I9_M2	0.93
2428	P1_I9_M2	0.81
2429	P1_I9_M3	0.9
2430	UNCLASSIFIED	NA
2431	P1_I9_M2	0.83
2432	P2_I6_M3	0.95
2433	UNCLASSIFIED	NA
2434	UNCLASSIFIED	NA
2435	UNCLASSIFIED	NA
2436	UNCLASSIFIED	NA
2437	P1_I9_M3	0.87
2438	UNCLASSIFIED	NA
2439	P2_I6_M10	0.82
2440	P1_I9_M2	0.88
2441	UNCLASSIFIED	NA
2442	UNCLASSIFIED	NA
2443	UNCLASSIFIED	NA
2444	P1_I9_M1	0.95
2445	P2_I6_M4	0.92
2446	P2_I6_M5	0.84
2447	UNCLASSIFIED	NA
2448	P1_I9_M2	0.88
2449	UNCLASSIFIED	NA
2450	UNCLASSIFIED	NA
2451	UNCLASSIFIED	NA
2452	P1_I9_M1	0.88
2453	P2_I6_M7	0.95
2454	UNCLASSIFIED	NA
2455	P2_I6_M6	0.93
2456	UNCLASSIFIED	NA
2457	UNCLASSIFIED	NA
2458	P1_I9_M2	0.88
2459	UNCLASSIFIED	NA
2460	P1_I9_M2	0.9
2461	P1_I9_M4	0.87
2462	P1_I9_M4	0.87
2463	UNCLASSIFIED	NA
2464	UNCLASSIFIED	NA
2465	UNCLASSIFIED	NA
2466	P2_I6_M8	0.9
2467	UNCLASSIFIED	NA
2468	P2_I6_M2	0.89
2469	UNCLASSIFIED	NA
2470	P2_I6_M8	0.87
2471	P1_I9_M1	0.95
2472	P1_I9_M2	0.86
2473	UNCLASSIFIED	NA
2474	P1_I9_M2	0.9
2475	UNCLASSIFIED	NA
2476	P2_I6_M5	0.91
2477	P2_I6_M1	0.91
2478	UNCLASSIFIED	NA
2479	UNCLASSIFIED	NA
2480	P1_I9_M1	0.84
2481	UNCLASSIFIED	NA
2482	UNCLASSIFIED	NA
2483	UNCLASSIFIED	NA
2484	P1_I9_M4	0.92
2485	P2_I6_M4	0.85
2486	P2_I6_M3	0.91
2487	UNCLASSIFIED	NA
2488	P1_I9_M2	0.94
2489	P2_I6_M7	0.82
2490	P1_I9_M1	0.93
2491	P1_I9_M1	0.92
2492	UNCLASSIFIED	NA
2493	UNCLASSIFIED	NA
2494	P1_I9_M1	0.92
2495	UNCLASSIFIED	NA
2496	P2_I6_M1	0.87
2497	UNCLASSIFIED	NA
2498	P1_I9_M2	0.98
2499	P1_I9_M2	0.94
2500	UNCLASSIFIED	NA
2501	UNCLASSIFIED	NA
2502	P1_I9_M1	0.91
2503	P1_I9_M2	0.95
2504	P1_I9_M2	0.88
2505	UNCLASSIFIED	NA
2506	P2_I6_M1	0.91
2507	UNCLASSIFIED	NA
2508	P1_I9_M2	0.95
2509	P1_I9_M2	0.86
2510	UNCLASSIFIED	NA
2511	P1_I9_M2	0.9
2512	P1_I9_M2	0.94
2513	UNCLASSIFIED	NA
2514	UNCLASSIFIED	NA
2515	UNCLASSIFIED	NA
2516	UNCLASSIFIED	NA
2517	P2_I6_M1	0.84
2518	P1_I9_M1	0.85
2519	P1_I9_M1	0.87
2520	P2_I6_M6	0.86
2521	P2_I6_M10	0.92
2522	UNCLASSIFIED	NA
2523	UNCLASSIFIED	NA
2524	P1_I9_M1	0.97
2525	P4_I3_M1	0.82
2526	P1_I9_M1	0.9
2527	UNCLASSIFIED	NA
2528	P1_I9_M5	0.92
2529	P2_I6_M10	0.94
2530	P2_I6_M10	0.93
2531	P2_I6_M10	0.91
2532	P1_I9_M5	0.81
2533	P1_I9_M5	0.87
2534	UNCLASSIFIED	NA
2535	P1_I9_M1	0.98
2536	P1_I9_M2	0.96
2537	P1_I9_M2	0.93
2538	P1_I9_M2	0.9
2539	P2_I6_M2	0.9
2540	UNCLASSIFIED	NA
2541	UNCLASSIFIED	NA
2542	P1_I9_M2	0.9
2543	UNCLASSIFIED	NA
2544	UNCLASSIFIED	NA
2545	P2_I6_M4	0.89
2546	UNCLASSIFIED	NA
2547	UNCLASSIFIED	NA
2548	P2_I6_M4	0.86
2549	P1_I9_M2	0.93
2550	P1_I9_M2	0.92
2551	P1_I9_M2	0.98
2552	UNCLASSIFIED	NA
2553	P2_I6_M2	0.83
2554	UNCLASSIFIED	NA
2555	UNCLASSIFIED	NA
2556	P1_I9_M1	0.9
2557	UNCLASSIFIED	NA
2558	UNCLASSIFIED	NA
2559	P1_I9_M1	0.86
2560	P1_I9_M2	0.91
2561	P1_I9_M2	0.86
2562	P1_I9_M2	0.92
2563	P1_I9_M2	0.94
2564	UNCLASSIFIED	NA
2565	UNCLASSIFIED	NA
2566	UNCLASSIFIED	NA
2567	P4_I3_M2	0.87
2568	P1_I9_M2	0.9
2569	P1_I9_M1	0.86
2570	UNCLASSIFIED	NA
2571	UNCLASSIFIED	NA
2572	UNCLASSIFIED	NA
2573	UNCLASSIFIED	NA
2574	P1_I9_M1	0.98
2575	P1_I9_M1	0.91
2576	UNCLASSIFIED	NA
2577	UNCLASSIFIED	NA
2578	P1_I9_M3	0.91
2579	UNCLASSIFIED	NA
2580	P1_I9_M1	0.82
2581	P1_I9_M1	0.93
2582	UNCLASSIFIED	NA
2583	P1_I9_M4	0.93
2584	P2_I6_M2	0.89
2585	P2_I6_M4	0.91
2586	UNCLASSIFIED	NA
2587	UNCLASSIFIED	NA
2588	P2_I6_M3	0.89
2589	P1_I9_M1	0.85
2590	UNCLASSIFIED	NA
2591	P2_I6_M5	0.85
2592	UNCLASSIFIED	NA
2593	P1_I9_M1	0.89
2594	UNCLASSIFIED	NA
2595	P2_I6_M5	0.84
2596	P3_I5_M3	0.84
2597	UNCLASSIFIED	NA
2598	UNCLASSIFIED	NA
2599	UNCLASSIFIED	NA
2600	P2_I6_M5	0.82
2601	P1_I9_M2	0.89
2602	P4_I3_M1	0.86
2603	UNCLASSIFIED	NA
2604	P1_I9_M2	0.97
2605	UNCLASSIFIED	NA
2606	UNCLASSIFIED	NA
2607	UNCLASSIFIED	NA
2608	P1_I9_M3	0.91
2609	UNCLASSIFIED	NA
2610	P1_I9_M1	0.89
2611	P2_I6_M1	0.87
2612	P1_I9_M2	0.92
2613	P2_I6_M6	0.86
2614	UNCLASSIFIED	NA
2615	P3_I5_M1	0.84
2616	UNCLASSIFIED	NA
2617	UNCLASSIFIED	NA
2618	P1_I9_M2	0.95
2619	P1_I9_M2	0.81
2620	UNCLASSIFIED	NA
2621	P2_I6_M2	0.9
2622	P1_I9_M1	0.97
2623	P1_I9_M2	0.87
2624	UNCLASSIFIED	NA
2625	P1_I9_M3	0.84
2626	P2_I6_M10	0.91
2627	UNCLASSIFIED	NA
2628	P2_I6_M1	0.89
2629	P1_I9_M1	0.92
2630	P1_I9_M1	0.94
2631	P1_I9_M1	0.95
2632	UNCLASSIFIED	NA
2633	P2_I6_M4	0.83
2634	P2_I6_M5	0.82
2635	UNCLASSIFIED	NA
2636	UNCLASSIFIED	NA
2637	P1_I9_M2	0.96
2638	P1_I9_M1	0.89
2639	P1_I9_M4	0.96
2640	UNCLASSIFIED	NA
2641	P1_I9_M2	0.85
2642	UNCLASSIFIED	NA
2643	P1_I9_M2	0.82
2644	P2_I6_M5	0.9
2645	UNCLASSIFIED	NA
2646	UNCLASSIFIED	NA
2647	UNCLASSIFIED	NA
2648	P1_I9_M6	0.91
2649	UNCLASSIFIED	NA
2650	P2_I6_M3	0.95
2651	UNCLASSIFIED	NA
2652	UNCLASSIFIED	NA
2653	P1_I9_M2	0.82
2654	UNCLASSIFIED	NA
2655	P2_I6_M7	0.88
2656	P1_I9_M1	0.89
2657	P1_I9_M2	0.8
2658	P2_I6_M7	0.86
2659	UNCLASSIFIED	NA
2660	UNCLASSIFIED	NA
2661	P1_I9_M1	0.93
2662	P1_I9_M1	0.93
2663	P1_I9_M4	0.85
2664	UNCLASSIFIED	NA
2665	UNCLASSIFIED	NA
2666	P1_I9_M2	0.87
2667	P2_I6_M2	0.84
2668	P1_I9_M2	0.98
2669	P2_I6_M3	0.95
2670	UNCLASSIFIED	NA
2671	P1_I9_M1	0.83
2672	P1_I9_M1	0.94
2673	P1_I9_M2	0.98
2674	P1_I9_M2	0.9
2675	P2_I6_M4	0.9
2676	P2_I6_M4	0.96
2677	P1_I9_M2	0.85
2678	UNCLASSIFIED	NA
2679	P1_I9_M3	0.91
2680	UNCLASSIFIED	NA
2681	UNCLASSIFIED	NA
2682	UNCLASSIFIED	NA
2683	P1_I9_M2	0.92
2684	UNCLASSIFIED	NA
2685	P1_I9_M1	0.87
2686	UNCLASSIFIED	NA
2687	P2_I6_M3	0.97
2688	P2_I6_M3	0.92
2689	UNCLASSIFIED	NA
2690	UNCLASSIFIED	NA
2691	P2_I6_M2	0.86
2692	UNCLASSIFIED	NA
2693	UNCLASSIFIED	NA
2694	UNCLASSIFIED	NA
2695	UNCLASSIFIED	NA
2696	P2_I6_M11	0.84
2697	UNCLASSIFIED	NA
2698	P1_I9_M2	0.88
2699	UNCLASSIFIED	NA
2700	P1_I9_M3	0.88
2701	P2_I6_M2	0.91
2702	P2_I6_M3	0.87
2703	P2_I6_M3	0.87
2704	UNCLASSIFIED	NA
2705	UNCLASSIFIED	NA
2706	UNCLASSIFIED	NA
2707	P2_I6_M1	0.85
2708	P1_I9_M2	0.85
2709	UNCLASSIFIED	NA
2710	UNCLASSIFIED	NA
2711	UNCLASSIFIED	NA
2712	UNCLASSIFIED	NA
2713	P1_I9_M2	0.93
2714	P2_I6_M2	0.84
2715	UNCLASSIFIED	NA
2716	P1_I9_M2	0.91
2717	P1_I9_M1	0.84
2718	UNCLASSIFIED	NA
2719	P1_I9_M1	0.95
2720	P1_I9_M1	0.87
2721	P1_I9_M1	0.85
2722	UNCLASSIFIED	NA
2723	P2_I6_M8	0.85
2724	UNCLASSIFIED	NA
2725	P2_I6_M8	0.93
2726	UNCLASSIFIED	NA
2727	P1_I9_M3	0.87
2728	P1_I9_M2	0.98
2729	UNCLASSIFIED	NA
2730	UNCLASSIFIED	NA
2731	UNCLASSIFIED	NA
2732	UNCLASSIFIED	NA
2733	P2_I6_M4	0.88
2734	P1_I9_M6	0.94
2735	UNCLASSIFIED	NA
2736	P2_I6_M10	0.81
2737	P4_I3_M2	0.89
2738	P2_I6_M2	0.84
2739	P2_I6_M2	0.82
2740	P1_I9_M6	0.92
2741	UNCLASSIFIED	NA
2742	UNCLASSIFIED	NA
2743	UNCLASSIFIED	NA
2744	UNCLASSIFIED	NA
2745	P1_I9_M2	0.88
2746	P1_I9_M2	0.9
2747	P1_I9_M2	0.9
2748	UNCLASSIFIED	NA
2749	P1_I9_M1	0.89
2750	UNCLASSIFIED	NA
2751	P2_I6_M5	0.88
2752	P2_I6_M5	0.87
2753	UNCLASSIFIED	NA
2754	P1_I9_M2	0.93
2755	UNCLASSIFIED	NA
2756	UNCLASSIFIED	NA
2757	UNCLASSIFIED	NA
2758	UNCLASSIFIED	NA
2759	UNCLASSIFIED	NA
2760	UNCLASSIFIED	NA
2761	UNCLASSIFIED	NA
2762	P2_I6_M2	0.86
2763	P1_I9_M1	0.85
2764	P1_I9_M2	0.93
2765	UNCLASSIFIED	NA
2766	UNCLASSIFIED	NA
2767	UNCLASSIFIED	NA
2768	P1_I9_M4	0.93
2769	P3_I5_M3	0.8
2770	P2_I6_M6	0.83
2771	P1_I9_M1	0.88
2772	UNCLASSIFIED	NA
2773	P1_I9_M2	0.96
2774	UNCLASSIFIED	NA
2775	P2_I6_M5	0.87
2776	P1_I9_M1	0.88
2777	P2_I6_M3	0.85
2778	P1_I9_M1	0.91
2779	P1_I9_M1	0.89
2780	P1_I9_M1	0.84
2781	P1_I9_M1	0.94
2782	UNCLASSIFIED	NA
2783	P1_I9_M1	0.93
2784	P2_I6_M6	0.82
2785	P1_I9_M1	0.95
2786	P1_I9_M2	0.83
2787	UNCLASSIFIED	NA
2788	P1_I9_M2	0.91
2789	UNCLASSIFIED	NA
2790	P1_I9_M2	0.98
2791	P1_I9_M2	0.86
2792	P1_I9_M2	0.92
2793	UNCLASSIFIED	NA
2794	P1_I9_M2	0.86
2795	P2_I6_M4	0.84
2796	P1_I9_M1	0.98
2797	P2_I6_M1	0.85
2798	P2_I6_M8	0.92
2799	P2_I6_M3	0.82
2800	P1_I9_M4	0.88
2801	P1_I9_M4	0.94
2802	UNCLASSIFIED	NA
2803	P2_I6_M11	0.89
2804	P1_I9_M1	0.89
2805	P3_I5_M1	0.83
2806	P1_I9_M1	0.94
2807	UNCLASSIFIED	NA
2808	P1_I9_M2	0.97
2809	UNCLASSIFIED	NA
2810	UNCLASSIFIED	NA
2811	UNCLASSIFIED	NA
2812	P1_I9_M2	0.85
2813	UNCLASSIFIED	NA
2814	P2_I6_M2	0.9
2815	UNCLASSIFIED	NA
2816	UNCLASSIFIED	NA
2817	P1_I9_M2	0.89
2818	P2_I6_M5	0.85
2819	P1_I9_M5	0.83
2820	P1_I9_M5	0.88
2821	UNCLASSIFIED	NA
2822	P2_I6_M1	0.82
2823	P1_I9_M2	0.97
2824	P1_I9_M2	0.91
2825	UNCLASSIFIED	NA
2826	UNCLASSIFIED	NA
2827	UNCLASSIFIED	NA
2828	P2_I6_M2	0.84
2829	P1_I9_M1	0.87
2830	P1_I9_M3	0.86
2831	P1_I9_M2	0.91
2832	UNCLASSIFIED	NA
2833	P2_I6_M4	0.82
2834	P1_I9_M1	0.88
2835	UNCLASSIFIED	NA
2836	UNCLASSIFIED	NA
2837	UNCLASSIFIED	NA
2838	P1_I9_M1	0.84
2839	P1_I9_M2	0.81
2840	P1_I9_M1	0.93
2841	P1_I9_M2	0.87
2842	UNCLASSIFIED	NA
2843	UNCLASSIFIED	NA
2844	P1_I9_M1	0.98
2845	P1_I9_M3	0.86
2846	P1_I9_M2	0.95
2847	UNCLASSIFIED	NA
2848	P1_I9_M2	0.93
2849	UNCLASSIFIED	NA
2850	UNCLASSIFIED	NA
2851	UNCLASSIFIED	NA
2852	UNCLASSIFIED	NA
2853	UNCLASSIFIED	NA
2854	P1_I9_M2	0.88
2855	P2_I6_M2	0.94
2856	UNCLASSIFIED	NA
2857	P2_I6_M1	0.82
2858	UNCLASSIFIED	NA
2859	UNCLASSIFIED	NA
2860	UNCLASSIFIED	NA
2861	P1_I9_M1	0.81
2862	UNCLASSIFIED	NA
2863	P2_I6_M11	0.84
2864	P1_I9_M5	0.89
2865	P2_I6_M10	0.88
2866	UNCLASSIFIED	NA
2867	UNCLASSIFIED	NA
2868	UNCLASSIFIED	NA
2869	P1_I9_M2	0.86
2870	UNCLASSIFIED	NA
2871	P4_I3_M2	0.84
2872	UNCLASSIFIED	NA
2873	P1_I9_M1	0.89
2874	P1_I9_M2	0.84
2875	UNCLASSIFIED	NA
2876	P1_I9_M2	0.92
2877	P2_I6_M3	0.86
2878	P1_I9_M2	0.84
2879	P1_I9_M1	0.88
2880	P1_I9_M2	0.86
2881	P3_I5_M1	0.93
2882	UNCLASSIFIED	NA
2883	UNCLASSIFIED	NA
2884	P2_I6_M6	0.87
2885	P2_I6_M2	0.85
2886	P1_I9_M2	0.84
2887	P1_I9_M2	0.8
2888	P2_I6_M1	0.92
2889	UNCLASSIFIED	NA
2890	UNCLASSIFIED	NA
2891	P2_I6_M4	0.87
2892	P3_I5_M3	0.89
2893	UNCLASSIFIED	NA
2894	P2_I6_M11	0.86
2895	UNCLASSIFIED	NA
2896	P2_I6_M7	0.84
2897	UNCLASSIFIED	NA
2898	UNCLASSIFIED	NA
2899	UNCLASSIFIED	NA
2900	UNCLASSIFIED	NA
2901	P1_I9_M2	0.91
2902	UNCLASSIFIED	NA
2903	P1_I9_M1	0.93
2904	P1_I9_M2	0.93
2905	P2_I6_M1	0.89
2906	UNCLASSIFIED	NA
2907	P1_I9_M2	0.97
2908	UNCLASSIFIED	NA
2909	P1_I9_M2	0.99
2910	P1_I9_M2	0.89
2911	P1_I9_M2	0.93
2912	UNCLASSIFIED	NA
2913	P1_I9_M1	0.95
2914	UNCLASSIFIED	NA
2915	UNCLASSIFIED	NA
2916	P1_I9_M1	0.95
2917	P1_I9_M2	0.81
2918	P2_I6_M2	0.84
2919	P2_I6_M11	0.89
2920	P4_I3_M1	0.93
2921	P1_I9_M1	0.92
2922	P1_I9_M1	0.82
2923	P1_I9_M1	0.84
2924	UNCLASSIFIED	NA
2925	UNCLASSIFIED	NA
2926	UNCLASSIFIED	NA
2927	P2_I6_M6	0.96
2928	P1_I9_M6	0.92
2929	P1_I9_M2	0.92
2930	UNCLASSIFIED	NA
2931	P1_I9_M2	0.93
2932	P1_I9_M1	0.81
2933	UNCLASSIFIED	NA
2934	P1_I9_M1	0.87
2935	P1_I9_M1	0.98
2936	UNCLASSIFIED	NA
2937	P1_I9_M1	0.91
2938	P2_I6_M6	0.84
2939	P1_I9_M2	0.98
2940	P1_I9_M1	0.85
2941	P1_I9_M1	0.97
2942	UNCLASSIFIED	NA
2943	UNCLASSIFIED	NA
2944	P2_I6_M5	0.84
2945	UNCLASSIFIED	NA
2946	UNCLASSIFIED	NA
2947	UNCLASSIFIED	NA
2948	P2_I6_M11	0.95
2949	P1_I9_M2	0.81
2950	P2_I6_M1	0.8
2951	P1_I9_M2	0.9
2952	UNCLASSIFIED	NA
2953	P1_I9_M1	0.98
2954	P1_I9_M2	0.83
2955	P1_I9_M1	0.91
2956	P2_I6_M2	0.83
2957	P1_I9_M2	0.95
2958	UNCLASSIFIED	NA
2959	P2_I6_M4	0.87
2960	UNCLASSIFIED	NA
2961	P1_I9_M1	0.84
2962	P1_I9_M1	0.9
2963	P2_I6_M1	0.88
2964	UNCLASSIFIED	NA
2965	UNCLASSIFIED	NA
2966	P3_I5_M2	0.82
2967	UNCLASSIFIED	NA
2968	UNCLASSIFIED	NA
2969	P1_I9_M6	0.85
2970	P1_I9_M2	0.86
2971	UNCLASSIFIED	NA
2972	UNCLASSIFIED	NA
2973	P2_I6_M10	0.87
2974	UNCLASSIFIED	NA
2975	UNCLASSIFIED	NA
2976	UNCLASSIFIED	NA
2977	P2_I6_M4	0.82
2978	P1_I9_M2	0.85
2979	P1_I9_M4	0.89
2980	P2_I6_M7	0.8
2981	P2_I6_M6	0.9
2982	P2_I6_M6	0.89
2983	P2_I6_M1	0.85
2984	UNCLASSIFIED	NA
2985	UNCLASSIFIED	NA
2986	UNCLASSIFIED	NA
2987	P1_I9_M1	0.81
2988	P1_I9_M2	0.93
2989	P1_I9_M1	0.96
2990	UNCLASSIFIED	NA
2991	P1_I9_M2	0.89
2992	UNCLASSIFIED	NA
2993	P1_I9_M2	0.95
2994	P2_I6_M4	0.96
2995	P2_I6_M1	0.88
2996	UNCLASSIFIED	NA
2997	P1_I9_M2	0.85
2998	P1_I9_M1	0.88
2999	P1_I9_M1	0.91
3000	P1_I9_M1	0.83
3001	P1_I9_M1	0.82
3002	UNCLASSIFIED	NA
3003	P1_I9_M1	0.95
3004	UNCLASSIFIED	NA
3005	P1_I9_M3	0.87
3006	P1_I9_M1	0.99
3007	UNCLASSIFIED	NA
3008	P1_I9_M1	0.83
3009	P3_I5_M2	0.94
3010	P1_I9_M2	0.96
3011	UNCLASSIFIED	NA
3012	UNCLASSIFIED	NA
3013	UNCLASSIFIED	NA
3014	P2_I6_M2	0.92
3015	UNCLASSIFIED	NA
3016	P2_I6_M3	0.93
3017	P2_I6_M1	0.93
3018	UNCLASSIFIED	NA
3019	UNCLASSIFIED	NA
3020	P1_I9_M1	0.93
3021	UNCLASSIFIED	NA
3022	P1_I9_M2	0.86
3023	P1_I9_M2	0.91
3024	P2_I6_M2	0.87
3025	P1_I9_M1	0.88
3026	P1_I9_M1	0.81
3027	UNCLASSIFIED	NA
3028	P2_I6_M5	0.88
3029	UNCLASSIFIED	NA
3030	P1_I9_M1	0.94
3031	P2_I6_M5	0.88
3032	UNCLASSIFIED	NA
3033	P3_I5_M3	0.86
3034	UNCLASSIFIED	NA
3035	P1_I9_M1	0.85
3036	UNCLASSIFIED	NA
3037	UNCLASSIFIED	NA
3038	P1_I9_M1	0.92
3039	UNCLASSIFIED	NA
3040	P2_I6_M2	0.92
3041	P1_I9_M3	0.94
3042	UNCLASSIFIED	NA
3043	P1_I9_M3	0.84
3044	P2_I6_M5	0.84
3045	P1_I9_M2	0.97
3046	P1_I9_M2	0.85
3047	P1_I9_M2	0.89
3048	UNCLASSIFIED	NA
3049	UNCLASSIFIED	NA
3050	P1_I9_M4	0.94
3051	UNCLASSIFIED	NA
3052	P1_I9_M2	0.96
3053	UNCLASSIFIED	NA
3054	UNCLASSIFIED	NA
3055	UNCLASSIFIED	NA
3056	P2_I6_M2	0.9
3057	P1_I9_M1	0.92
3058	P1_I9_M1	0.83
3059	UNCLASSIFIED	NA
3060	P1_I9_M4	0.93
3061	UNCLASSIFIED	NA
3062	UNCLASSIFIED	NA
3063	UNCLASSIFIED	NA
3064	P1_I9_M1	0.89
3065	P1_I9_M1	0.95
3066	P2_I6_M3	0.84
3067	P1_I9_M2	0.97
3068	UNCLASSIFIED	NA
3069	UNCLASSIFIED	NA
3070	P1_I9_M2	0.91
3071	UNCLASSIFIED	NA
3072	P1_I9_M1	0.89
3073	P1_I9_M5	0.93
3074	P1_I9_M1	0.81
3075	UNCLASSIFIED	NA
3076	P1_I9_M1	0.92
3077	P1_I9_M2	0.82
3078	UNCLASSIFIED	NA
3079	UNCLASSIFIED	NA
3080	UNCLASSIFIED	NA
3081	UNCLASSIFIED	NA
3082	P1_I9_M2	0.85
3083	UNCLASSIFIED	NA
3084	P2_I6_M2	0.87
3085	P2_I6_M6	0.92
3086	P2_I6_M4	0.9
3087	UNCLASSIFIED	NA
3088	P1_I9_M3	0.84
3089	UNCLASSIFIED	NA
3090	P1_I9_M2	0.9
3091	UNCLASSIFIED	NA
3092	UNCLASSIFIED	NA
3093	UNCLASSIFIED	NA
3094	UNCLASSIFIED	NA
3095	P1_I9_M2	0.86
3096	UNCLASSIFIED	NA
3097	P1_I9_M2	0.96
3098	P1_I9_M1	0.95
3099	P1_I9_M1	0.89
3100	UNCLASSIFIED	NA
3101	P2_I6_M5	0.89
3102	P2_I6_M6	0.89
3103	UNCLASSIFIED	NA
3104	UNCLASSIFIED	NA
3105	P1_I9_M2	0.97
3106	UNCLASSIFIED	NA
3107	UNCLASSIFIED	NA
3108	UNCLASSIFIED	NA
3109	P1_I9_M2	0.91
3110	P2_I6_M4	0.86
3111	UNCLASSIFIED	NA
3112	P2_I6_M1	0.92
3113	P1_I9_M3	0.86
3114	P2_I6_M10	0.88
3115	UNCLASSIFIED	NA
3116	P1_I9_M2	0.86
3117	P2_I6_M3	0.91
3118	UNCLASSIFIED	NA
3119	P1_I9_M1	0.87
3120	UNCLASSIFIED	NA
3121	UNCLASSIFIED	NA
3122	P1_I9_M2	0.97
3123	P1_I9_M2	0.92
3124	P2_I6_M2	0.96
3125	P1_I9_M1	0.99
3126	UNCLASSIFIED	NA
3127	UNCLASSIFIED	NA
3128	P1_I9_M1	0.85
3129	P1_I9_M2	0.87
3130	P1_I9_M1	0.97
3131	UNCLASSIFIED	NA
3132	P1_I9_M2	0.84
3133	UNCLASSIFIED	NA
3134	UNCLASSIFIED	NA
3135	P1_I9_M2	0.95
3136	P1_I9_M2	0.89
3137	P1_I9_M2	0.93
3138	P1_I9_M2	0.95
3139	P2_I6_M8	0.91
3140	P1_I9_M4	0.88
3141	P2_I6_M1	0.87
3142	P2_I6_M1	0.87
3143	P1_I9_M2	0.82
3144	UNCLASSIFIED	NA
3145	UNCLASSIFIED	NA
3146	UNCLASSIFIED	NA
3147	P1_I9_M2	0.96
3148	UNCLASSIFIED	NA
3149	P1_I9_M3	0.89
3150	P2_I6_M2	0.89
3151	P1_I9_M2	0.98
3152	P1_I9_M2	0.93
3153	UNCLASSIFIED	NA
3154	UNCLASSIFIED	NA
3155	UNCLASSIFIED	NA
3156	P1_I9_M3	0.85
3157	UNCLASSIFIED	NA
3158	P1_I9_M2	0.95
3159	P1_I9_M1	0.93
3160	P1_I9_M2	0.8
3161	P1_I9_M1	0.91
3162	P1_I9_M1	0.92
3163	P2_I6_M5	0.91
3164	P2_I6_M3	0.95
3165	UNCLASSIFIED	NA
3166	UNCLASSIFIED	NA
3167	UNCLASSIFIED	NA
3168	UNCLASSIFIED	NA
3169	UNCLASSIFIED	NA
3170	P1_I9_M1	0.92
3171	UNCLASSIFIED	NA
3172	P4_I3_M2	0.83
3173	UNCLASSIFIED	NA
3174	P1_I9_M2	0.82
3175	P1_I9_M1	0.89
3176	UNCLASSIFIED	NA
3177	UNCLASSIFIED	NA
3178	P1_I9_M1	0.83
3179	UNCLASSIFIED	NA
3180	P2_I6_M4	0.87
3181	UNCLASSIFIED	NA
3182	UNCLASSIFIED	NA
3183	UNCLASSIFIED	NA
3184	UNCLASSIFIED	NA
3185	UNCLASSIFIED	NA
3186	UNCLASSIFIED	NA
3187	P4_I3_M1	0.81
3188	UNCLASSIFIED	NA
3189	P1_I9_M1	0.84
3190	P1_I9_M1	0.98
3191	P2_I6_M2	0.88
3192	P2_I6_M4	0.86
3193	P2_I6_M4	0.81
3194	UNCLASSIFIED	NA
3195	P1_I9_M2	0.93
3196	UNCLASSIFIED	NA
3197	UNCLASSIFIED	NA
3198	UNCLASSIFIED	NA
3199	UNCLASSIFIED	NA
3200	UNCLASSIFIED	NA
3201	UNCLASSIFIED	NA
3202	UNCLASSIFIED	NA
3203	P2_I6_M10	0.85
3204	UNCLASSIFIED	NA
3205	P2_I6_M5	0.88
3206	P2_I6_M5	0.91
3207	P3_I5_M2	0.9
3208	P1_I9_M1	0.83
3209	UNCLASSIFIED	NA
3210	UNCLASSIFIED	NA
3211	P1_I9_M1	0.87
3212	P1_I9_M1	0.97
3213	P1_I9_M1	0.91
3214	P1_I9_M1	0.98
3215	UNCLASSIFIED	NA
3216	P3_I5_M3	0.84
3217	P1_I9_M3	0.89
3218	UNCLASSIFIED	NA
3219	UNCLASSIFIED	NA
3220	P1_I9_M1	0.93
3221	P1_I9_M1	0.93
3222	P1_I9_M3	0.93
3223	UNCLASSIFIED	NA
3224	P1_I9_M2	0.92
3225	P4_I3_M2	0.86
3226	P2_I6_M2	0.97
3227	P1_I9_M2	0.86
3228	UNCLASSIFIED	NA
3229	P1_I9_M1	0.85
3230	UNCLASSIFIED	NA
3231	P2_I6_M9	0.87
3232	UNCLASSIFIED	NA
3233	P2_I6_M6	0.91
3234	P1_I9_M2	0.98
3235	UNCLASSIFIED	NA
3236	P2_I6_M8	0.96
3237	UNCLASSIFIED	NA
3238	P1_I9_M1	0.8
3239	UNCLASSIFIED	NA
3240	P1_I9_M1	0.9
3241	UNCLASSIFIED	NA
3242	P1_I9_M1	0.87
3243	P1_I9_M1	0.89
3244	UNCLASSIFIED	NA
3245	P4_I3_M2	0.85
3246	UNCLASSIFIED	NA
3247	P1_I9_M2	0.93
3248	UNCLASSIFIED	NA
3249	P2_I6_M5	0.88
3250	P1_I9_M1	0.83
3251	UNCLASSIFIED	NA
3252	P1_I9_M2	0.84
3253	UNCLASSIFIED	NA
3254	P1_I9_M1	0.86
3255	P1_I9_M2	0.96
3256	UNCLASSIFIED	NA
3257	UNCLASSIFIED	NA
