Gene	Module	kME
208	P2_I6_M3	0.89
209	P2_I6_M3	0.89
210	UNCLASSIFIED	NA
211	P1_I9_M1	0.98
212	P1_I9_M4	0.89
213	P1_I9_M1	0.91
214	P2_I6_M9	0.83
215	P1_I9_M2	0.93
216	P1_I9_M3	0.83
217	UNCLASSIFIED	NA
218	UNCLASSIFIED	NA
219	P4_I3_M2	0.86
220	UNCLASSIFIED	NA
221	P2_I6_M10	0.93
222	UNCLASSIFIED	NA
223	UNCLASSIFIED	NA
224	UNCLASSIFIED	NA
225	P2_I6_M1	0.91
226	UNCLASSIFIED	NA
227	P3_I5_M3	0.95
228	UNCLASSIFIED	NA
229	UNCLASSIFIED	NA
230	UNCLASSIFIED	NA
231	UNCLASSIFIED	NA
232	P1_I9_M1	0.85
233	UNCLASSIFIED	NA
234	P1_I9_M1	0.92
235	P2_I6_M5	0.92
236	P2_I6_M7	0.89
237	P1_I9_M2	0.97
238	P1_I9_M1	0.94
239	P1_I9_M2	0.93
240	P2_I6_M3	0.9
241	UNCLASSIFIED	NA
242	P2_I6_M6	0.82
243	P2_I6_M2	0.84
244	P2_I6_M3	0.96
245	P2_I6_M5	0.92
246	P1_I9_M1	0.86
247	P1_I9_M2	0.89
248	P3_I5_M1	0.91
249	P1_I9_M3	0.86
250	UNCLASSIFIED	NA
251	P1_I9_M2	0.9
252	P1_I9_M2	0.92
253	P2_I6_M2	0.91
254	P1_I9_M2	0.81
255	UNCLASSIFIED	NA
256	P1_I9_M1	0.84
257	P1_I9_M1	0.84
258	P1_I9_M2	0.96
259	UNCLASSIFIED	NA
260	P1_I9_M2	0.87
261	UNCLASSIFIED	NA
262	P1_I9_M2	0.87
263	P1_I9_M2	0.83
264	UNCLASSIFIED	NA
265	P2_I6_M4	0.87
266	P3_I5_M1	0.87
267	UNCLASSIFIED	NA
268	UNCLASSIFIED	NA
269	P1_I9_M2	0.85
270	P1_I9_M1	0.97
271	P1_I9_M1	0.98
272	UNCLASSIFIED	NA
273	P2_I6_M4	0.84
274	UNCLASSIFIED	NA
275	P1_I9_M3	0.89
276	P1_I9_M1	0.81
277	UNCLASSIFIED	NA
278	P2_I6_M3	0.88
279	P1_I9_M2	0.94
280	P1_I9_M1	0.94
281	P1_I9_M1	0.85
282	UNCLASSIFIED	NA
283	P1_I9_M1	0.98
284	P1_I9_M1	0.82
285	UNCLASSIFIED	NA
286	P1_I9_M4	0.94
287	P2_I6_M1	0.92
288	UNCLASSIFIED	NA
289	P1_I9_M1	0.9
290	UNCLASSIFIED	NA
291	UNCLASSIFIED	NA
292	UNCLASSIFIED	NA
293	P1_I9_M2	0.9
294	P1_I9_M1	0.95
295	P1_I9_M5	0.9
296	UNCLASSIFIED	NA
297	P1_I9_M2	0.85
298	UNCLASSIFIED	NA
299	P1_I9_M1	0.91
300	UNCLASSIFIED	NA
301	P1_I9_M1	0.92
302	UNCLASSIFIED	NA
303	P1_I9_M3	0.85
304	P1_I9_M4	0.92
305	P1_I9_M3	0.84
306	UNCLASSIFIED	NA
307	UNCLASSIFIED	NA
308	P1_I9_M1	0.97
309	P1_I9_M2	0.84
310	P2_I6_M4	0.88
311	P2_I6_M3	0.94
312	P1_I9_M2	0.97
313	UNCLASSIFIED	NA
314	P1_I9_M2	0.91
315	P1_I9_M2	0.86
316	UNCLASSIFIED	NA
317	P2_I6_M2	0.84
318	P1_I9_M2	0.97
319	P1_I9_M2	0.9
320	P1_I9_M2	0.95
321	P1_I9_M2	0.94
322	UNCLASSIFIED	NA
323	UNCLASSIFIED	NA
324	P1_I9_M2	0.84
325	UNCLASSIFIED	NA
326	P1_I9_M2	0.96
327	UNCLASSIFIED	NA
328	UNCLASSIFIED	NA
329	UNCLASSIFIED	NA
330	UNCLASSIFIED	NA
331	UNCLASSIFIED	NA
332	P1_I9_M2	0.96
333	UNCLASSIFIED	NA
334	P1_I9_M2	0.92
335	P2_I6_M9	0.86
336	UNCLASSIFIED	NA
337	UNCLASSIFIED	NA
338	UNCLASSIFIED	NA
339	P1_I9_M2	0.85
340	UNCLASSIFIED	NA
341	P1_I9_M1	0.88
342	P1_I9_M2	0.96
343	P2_I6_M5	0.86
344	UNCLASSIFIED	NA
345	P1_I9_M2	0.87
346	P1_I9_M2	0.84
347	UNCLASSIFIED	NA
348	P2_I6_M9	0.86
349	UNCLASSIFIED	NA
350	P1_I9_M2	0.83
351	P2_I6_M9	0.94
352	P1_I9_M2	0.88
353	P2_I6_M2	0.9
354	UNCLASSIFIED	NA
355	UNCLASSIFIED	NA
356	P1_I9_M1	0.87
357	UNCLASSIFIED	NA
358	P1_I9_M4	0.96
359	P1_I9_M4	0.94
360	P1_I9_M2	0.85
361	P2_I6_M2	0.92
362	UNCLASSIFIED	NA
363	UNCLASSIFIED	NA
364	P1_I9_M1	0.89
365	UNCLASSIFIED	NA
366	P1_I9_M1	0.93
367	UNCLASSIFIED	NA
368	UNCLASSIFIED	NA
