cds_id,SampleID,SampleNames,Condition,ConditionColors,Replicate,Batch,BatchColors,Batch2,Batch2Color,Sex,Genotype,temperature,age,treatment,replicate
LM_0084__30C_10d_HKEC,10500-LM-0084,30C-10d-HKEC-rep4,30C-10d-HKEC,#e1c636,4,7,#cd4e42,9,#cd5930,Female,WT,30C,10d,HKEC,rep4
LM_0089__27C_15d_Naive,10500-LM-0089,27C-15d-Naive-rep4,27C-15d-Naive,#9e2cb4,4,8,#4bafd0,9,#cd5930,Female,WT,27C,15d,Naive,rep4
LM_0090__27C_15d_HKEC,10500-LM-0090,27C-15d-HKEC-rep4,27C-15d-HKEC,#55da5a,4,8,#4bafd0,9,#cd5930,Female,WT,27C,15d,HKEC,rep4
LM_0041__30C_15d_Naive,10500-LM-0041,30C-15d-Naive-rep2,30C-15d-Naive,#b80063,2,3,#b05cc6,10,#d73e5a,Female,WT,30C,15d,Naive,rep2
LM_0042__30C_15d_HKEC,10500-LM-0042,30C-15d-HKEC-rep2,30C-15d-HKEC,#99a100,2,3,#b05cc6,10,#d73e5a,Female,WT,30C,15d,HKEC,rep2
LM_0091__32C_10d_Naive,10500-LM-0091,32C-10d-Naive-rep4,32C-10d-Naive,#ffb19a,4,8,#4bafd0,10,#d73e5a,Female,WT,32C,10d,Naive,rep4
LM_0092__32C_10d_HKEC,10500-LM-0092,32C-10d-HKEC-rep4,32C-10d-HKEC,#00b87d,4,8,#4bafd0,10,#d73e5a,Female,WT,32C,10d,HKEC,rep4
LM_0109__27C_15d_Naive,10500-LM-0109,27C-15d-Naive-rep5,27C-15d-Naive,#9e2cb4,5,9,#c47b3b,10,#d73e5a,Female,WT,27C,15d,Naive,rep5
LM_0110__27C_15d_HKEC,10500-LM-0110,27C-15d-HKEC-rep5,27C-15d-HKEC,#55da5a,5,9,#c47b3b,10,#d73e5a,Female,WT,27C,15d,HKEC,rep5
LM_0029__32C_15d_Naive,10500-LM-0029,32C-15d-Naive-rep1,32C-15d-Naive,#ffb567,1,2,#60b64b,11,#4ea771,Female,WT,32C,15d,Naive,rep1
LM_0030__32C_15d_HKEC,10500-LM-0030,32C-15d-HKEC-rep1,32C-15d-HKEC,#02b0a7,1,2,#60b64b,11,#4ea771,Female,WT,32C,15d,HKEC,rep1
LM_0103__30C_10d_Naive,10500-LM-0103,30C-10d-Naive-rep5,30C-10d-Naive,#65428b,5,9,#c47b3b,11,#4ea771,Female,WT,30C,10d,Naive,rep5
LM_0104__30C_10d_HKEC,10500-LM-0104,30C-10d-HKEC-rep5,30C-10d-HKEC,#e1c636,5,9,#c47b3b,11,#4ea771,Female,WT,30C,10d,HKEC,rep5
LM_0111__32C_10d_Naive,10500-LM-0111,32C-10d-Naive-rep5,32C-10d-Naive,#ffb19a,5,10,#be6e8c,11,#4ea771,Female,WT,32C,10d,Naive,rep5
LM_0112__32C_10d_HKEC,10500-LM-0112,32C-10d-HKEC-rep5,32C-10d-HKEC,#00b87d,5,10,#be6e8c,11,#4ea771,Female,WT,32C,10d,HKEC,rep5
LM_0035__32C_5d_Naive,10500-LM-0035,32C-5d-Naive-rep2,32C-5d-Naive,#64622e,2,2,#60b64b,12,#cf63cc,Female,WT,32C,5d,Naive,rep2
LM_0036__32C_5d_HKEC,10500-LM-0036,32C-5d-HKEC-rep2,32C-5d-HKEC,#bbcd94,2,2,#60b64b,12,#cf63cc,Female,WT,32C,5d,HKEC,rep2
LM_0039__32C_15d_Naive,10500-LM-0039,32C-15d-Naive-rep2,32C-15d-Naive,#ffb567,2,3,#b05cc6,12,#cf63cc,Female,WT,32C,15d,Naive,rep2
LM_0040__32C_15d_HKEC,10500-LM-0040,32C-15d-HKEC-rep2,32C-15d-HKEC,#02b0a7,2,3,#b05cc6,12,#cf63cc,Female,WT,32C,15d,HKEC,rep2
LM_0079__27C_5d_Naive,10500-LM-0079,27C-5d-Naive-rep4,27C-5d-Naive,#016fbc,4,7,#cd4e42,12,#cf63cc,Female,WT,27C,5d,Naive,rep4
LM_0080__27C_5d_HKEC,10500-LM-0080,27C-5d-HKEC-rep4,27C-5d-HKEC,#ffba33,4,7,#cd4e42,12,#cf63cc,Female,WT,27C,5d,HKEC,rep4
LM_0101__27C_5d_Naive,10500-LM-0101,27C-5d-Naive-rep5,27C-5d-Naive,#016fbc,5,9,#c47b3b,13,#46aa8c,Female,WT,27C,5d,Naive,rep5
LM_0102__27C_5d_HKEC,10500-LM-0102,27C-5d-HKEC-rep5,27C-5d-HKEC,#ffba33,5,9,#c47b3b,13,#46aa8c,Female,WT,27C,5d,HKEC,rep5
LM_0113__27C_10d_Naive,10500-LM-0113,27C-10d-Naive-rep5,27C-10d-Naive,#9479ff,5,10,#be6e8c,13,#46aa8c,Female,WT,27C,10d,Naive,rep5
LM_0114__27C_10d_HKEC,10500-LM-0114,27C-10d-HKEC-rep5,27C-10d-HKEC,#df6000,5,10,#be6e8c,13,#46aa8c,Female,WT,27C,10d,HKEC,rep5
LM_0043__30C_5d_Naive,10500-LM-0043,30C-5d-Naive-rep2,30C-5d-Naive,#a2153b,2,3,#b05cc6,14,#d83f86,Female,WT,30C,5d,Naive,rep2
LM_0044__30C_5d_HKEC,10500-LM-0044,30C-5d-HKEC-rep2,30C-5d-HKEC,#246c00,2,3,#b05cc6,14,#d83f86,Female,WT,30C,5d,HKEC,rep2
LM_0053__32C_15d_Naive,10500-LM-0053,32C-15d-Naive-rep3,32C-15d-Naive,#ffb567,3,4,#b9b335,14,#d83f86,Female,WT,32C,15d,Naive,rep3
LM_0054__32C_15d_HKEC,10500-LM-0054,32C-15d-HKEC-rep3,32C-15d-HKEC,#02b0a7,3,4,#b9b335,14,#d83f86,Female,WT,32C,15d,HKEC,rep3
LM_0061__32C_1d_Naive,10500-LM-0061,32C-1d-Naive-rep3,32C-1d-Naive,#784710,3,5,#cf4787,15,#669bcb,Female,WT,32C,1d,Naive,rep3
LM_0062__32C_1d_HKEC,10500-LM-0062,32C-1d-HKEC-rep3,32C-1d-HKEC,#63c0ff,3,5,#cf4788,15,#669bcb,Female,WT,32C,1d,HKEC,rep3
LM_0085__32C_15d_Naive,10500-LM-0085,32C-15d-Naive-rep4,32C-15d-Naive,#ffb567,4,7,#cd4e43,15,#669bcb,Female,WT,32C,15d,Naive,rep4
LM_0086__32C_15d_HKEC,10500-LM-0086,32C-15d-HKEC-rep4,32C-15d-HKEC,#02b0a7,4,7,#cd4e44,15,#669bcb,Female,WT,32C,15d,HKEC,rep4
LM_0045__30C_1d_Naive,10500-LM-0045,30C-1d-Naive-rep2,30C-1d-Naive,#ff84c5,2,3,#b05cc7,16,#c96253,Female,WT,30C,1d,Naive,rep2
LM_0046__30C_1d_HKEC,10500-LM-0046,30C-1d-HKEC-rep2,30C-1d-HKEC,#019a44,2,3,#b05cc8,16,#c96253,Female,WT,30C,1d,HKEC,rep2
LM_0081__32C_1d_Naive,10500-LM-0081,32C-1d-Naive-rep4,32C-1d-Naive,#784710,4,7,#cd4e45,16,#c96253,Female,WT,32C,1d,Naive,rep4
LM_0082__32C_1d_HKEC,10500-LM-0082,32C-1d-HKEC-rep4,32C-1d-HKEC,#63c0ff,4,7,#cd4e46,16,#c96253,Female,WT,32C,1d,HKEC,rep4
LM_0055__30C_5d_Naive,10500-LM-0055,30C-5d-Naive-rep3,30C-5d-Naive,#a2153b,3,4,#b9b335,17,#528fd4,Female,WT,30C,5d,Naive,rep3
LM_0056__30C_5d_HKEC,10500-LM-0056,30C-5d-HKEC-rep3,30C-5d-HKEC,#246c00,3,4,#b9b335,17,#528fd4,Female,WT,30C,5d,HKEC,rep3
LM_0099__32C_15d_Naive,10500-LM-0099,32C-15d-Naive-rep5,32C-15d-Naive,#ffb567,5,8,#4bafd0,17,#528fd4,Female,WT,32C,15d,Naive,rep5
LM_0065__30C_15d_Naive,10500-LM-0065,30C-15d-Naive-rep3,30C-15d-Naive,#b80063,3,5,#cf4789,18,#a4844b,Female,WT,30C,15d,Naive,rep3
LM_0066__30C_15d_HKEC,10500-LM-0066,30C-15d-HKEC-rep3,30C-15d-HKEC,#99a100,3,5,#cf4790,18,#a4844b,Female,WT,30C,15d,HKEC,rep3
LM_0071__32C_5d_Naive,10500-LM-0071,32C-5d-Naive-rep3,32C-5d-Naive,#64622e,3,6,#55ae84,18,#a4844b,Female,WT,32C,5d,Naive,rep3
LM_0072__32C_5d_HKEC,10500-LM-0072,32C-5d-HKEC-rep3,32C-5d-HKEC,#bbcd94,3,6,#55ae85,18,#a4844b,Female,WT,32C,5d,HKEC,rep3
LM_0119__30C_5d_Naive,10500-LM-0119,30C-5d-Naive-rep4,30C-5d-Naive,#a2153b,4,10,#be6e8c,18,#a4844b,Female,WT,30C,5d,Naive,rep4
LM_0120__30C_5d_HKEC,10500-LM-0120,30C-5d-HKEC-rep4,30C-5d-HKEC,#246c00,4,10,#be6e8c,18,#a4844b,Female,WT,30C,5d,HKEC,rep4
LM_0093__32C_5d_Naive,10500-LM-0093,32C-5d-Naive-rep4,32C-5d-Naive,#64622e,4,8,#4bafd0,19,#be429d,Female,WT,32C,5d,Naive,rep4
LM_0094__32C_5d_HKEC,10500-LM-0094,32C-5d-HKEC-rep4,32C-5d-HKEC,#bbcd94,4,8,#4bafd0,19,#be429d,Female,WT,32C,5d,HKEC,rep4
LM_0095__30C_5d_Naive,10500-LM-0095,30C-5d-Naive-rep5,30C-5d-Naive,#a2153b,5,8,#4bafd0,19,#be429d,Female,WT,30C,5d,Naive,rep5
LM_0096__30C_5d_HKEC,10500-LM-0096,30C-5d-HKEC-rep5,30C-5d-HKEC,#246c00,5,8,#4bafd0,19,#be429d,Female,WT,30C,5d,HKEC,rep5
LM_0105__32C_1d_Naive,10500-LM-0105,32C-1d-Naive-rep5,32C-1d-Naive,#784710,5,9,#c47b3b,19,#be429d,Female,WT,32C,1d,Naive,rep5
LM_0106__32C_1d_HKEC,10500-LM-0106,32C-1d-HKEC-rep5,32C-1d-HKEC,#63c0ff,5,9,#c47b3b,19,#be429d,Female,WT,32C,1d,HKEC,rep5
LM_0051__30C_1d_Naive,10500-LM-0051,30C-1d-Naive-rep3,30C-1d-Naive,#ff84c5,3,4,#b9b335,20,#c1666d,Female,WT,30C,1d,Naive,rep3
LM_0052__30C_1d_HKEC,10500-LM-0052,30C-1d-HKEC-rep3,30C-1d-HKEC,#019a44,3,4,#b9b336,20,#c1666d,Female,WT,30C,1d,HKEC,rep3
LM_0057__27C_1d_Naive,10500-LM-0057,27C-1d-Naive-rep3,27C-1d-Naive,#7096ff,3,4,#b9b337,20,#c1666d,Female,WT,27C,1d,Naive,rep3
LM_0058__27C_1d_HKEC,10500-LM-0058,27C-1d-HKEC-rep3,27C-1d-HKEC,#9ed74f,3,4,#b9b338,20,#c1666d,Female,WT,27C,1d,HKEC,rep3
LM_0115__32C_5d_Naive,10500-LM-0115,32C-5d-Naive-rep5,32C-5d-Naive,#64622e,5,10,#be6e8c,20,#c1666d,Female,WT,32C,5d,Naive,rep5
